epsilon,seed,uk_gini,uk_revenue,uk_welfare,opt_gini,opt_revenue,opt_welfare,gini_change_pct,revenue_change_pct,welfare_change_pct,allowance,basic_threshold,higher_threshold,basic_rate,higher_rate,additional_rate
1.0,42,0.35320523879675925,12242644.549889248,20316.475539145827,0.3757533203050303,11630668.996240957,20725.661416638635,6.38384684923816,-4.9987202614146575,2.0140593613512716,14305.663468076784,41119.796702285064,130000.0,0.21718611404452143,0.2671861140445214,0.4
1.0,101,0.35621139479381125,12217766.596172212,20086.345034054764,0.3612392236528026,11608560.212644223,20444.019225346477,1.4114733364724712,-4.986233602783434,1.7806832984562684,14456.176574771678,40509.72829647684,91989.41673452244,0.19277788679595986,0.330586614021228,0.4
1.0,202,0.3548518602690405,12306519.828318583,20249.024876436244,0.3731440383998561,11691609.450074896,20673.897071717318,5.154877338658144,-4.996622821252146,2.098235336633404,13292.859315940985,32697.89820739265,130000.0,0.17898357021071112,0.2827478852891967,0.4
1.0,303,0.3519842209159014,12203017.626898436,20308.8444938138,0.36814382922878375,11595024.973676749,20728.389788456963,4.591003616819315,-4.982313980121792,2.065825531191386,14627.380013129678,56842.449709515095,130000.0,0.21870448245024848,0.3269244328362944,0.4
1.0,404,0.3522826135672623,12044012.7474435,20123.567373663507,0.36971301995794636,11441861.701590555,20515.619916862877,4.947847472284071,-4.999588247536193,1.9482258583657712,14622.96740357835,38258.3577935381,130000.0,0.21136935170048948,0.2821032803326158,0.4
1.0,505,0.3567085775097649,12758405.105417853,20544.856757878602,0.36470102129913573,12121711.421980966,20893.790403067855,2.240608803176877,-4.9903861664222875,1.6983990168509797,13611.175452288273,51476.89852691437,121509.69323704895,0.1959702695908906,0.371052429664724,0.421052429664724
1.0,606,0.35208964211592453,12356919.566193018,20427.59790898561,0.3759447837063541,11739180.73594229,20888.369205554525,6.775303427578629,-4.999132890213065,2.2556313210288654,13155.145258688457,45423.938893822735,130000.0,0.19977905818240185,0.28003951157151696,0.4
1.0,707,0.3594217831106905,12796491.946099777,20434.85410906053,0.3713155016090397,12157178.882406928,20831.381247429774,3.309125672743743,-4.99600254808666,1.9404451641934188,12638.27270104319,49742.81812325525,130000.0,0.18387888642973477,0.3567055369573329,0.4067055369573329
1.0,808,0.35576411864099344,12406763.391338915,20275.38813407618,0.36972182286245614,11786487.220598022,20660.92814064574,3.9233029668030155,-4.999500282030881,1.901517268227269,13807.353379914914,53264.03555790413,130000.0,0.20439678007744264,0.3424836765555555,0.4
1.0,909,0.35189945552030544,12114679.400594339,20226.295993472013,0.37891644313525674,11509399.376094097,20643.585622131133,7.677473548518281,-4.9962529299004546,2.063104528846011,12000.0,59150.51530136481,130000.0,0.19744258192614836,0.2864621856344014,0.4028985227135143
1.2,42,0.35320523879675925,12242644.549889248,19442.75829589353,0.37172139721877806,11630519.71032029,19784.446553880305,5.242322703110683,-4.9999396541696965,1.7574062938330186,14577.433951214694,49037.629905265254,130000.0,0.21831326251684116,0.29441980876504814,0.4
1.2,101,0.35621139479381125,12217766.596172212,19211.612583404618,0.35679846684592054,11618034.193856604,19534.240891957965,0.16481001469621792,-4.9086909427742835,1.6793400718065687,15817.091635321345,39709.16090454027,76182.01325473013,0.20609191579906533,0.33393052421729374,0.4
1.2,202,0.3548518602690405,12306519.828318583,19362.80649536404,0.3681338727631389,11691219.517921288,19714.839080192745,3.742973894522724,-4.999791321844095,1.8180865718664927,13942.935318159487,32903.21022216002,130000.0,0.17798009648690355,0.30011397564899467,0.4003746497973472
1.2,303,0.3519842209159014,12203017.626898436,19435.24254329601,0.36646969237274063,11597088.938977946,19795.751029772087,4.115375234476825,-4.965400415261838,1.854921468939575,15579.496798590382,54302.669929154305,130000.0,0.2317268091192653,0.3163271417190475,0.4
1.2,404,0.3522826135672623,12044012.7474435,19241.7387068964,0.35236993818444473,11442441.74453751,19532.11739617873,0.024788227922506564,-4.994772220194489,1.5091083695999667,16997.86112816694,34381.4061782344,130000.0,0.2122637914908747,0.3397083354223478,0.4
1.2,505,0.3567085775097649,12758405.105417853,19661.952373385244,0.3543371169176779,12120516.44333216,19977.578279211808,-0.6648173723891232,-4.999752373553448,1.6052622843995938,17275.083145945566,47104.5365109618,130000.0,0.23693320924777528,0.3783336778779706,0.4283336778779706
1.2,606,0.35208964211592453,12356919.566193018,19552.728461351602,0.3552403727595579,11740418.276710164,19920.613637742266,0.8948660416985486,-4.989117928464344,1.881503019477997,16119.534133420402,47093.97131914398,130000.0,0.2179742246318087,0.3649501665865089,0.4149501665865089
1.2,707,0.3594217831106905,12796491.946099777,19530.906149024984,0.35594855226935795,12158253.659441644,19883.253424921466,-0.9663384370509642,-4.987603550617325,1.8040498131934934,15343.408625782862,33800.66626369788,73785.9367975345,0.1696650759521212,0.34385332703196203,0.4
1.2,808,0.35576411864099344,12406763.391338915,19398.98946507863,0.36078585493576054,11788875.909376107,19745.81302136733,1.4115353493067138,-4.980247164172978,1.7878434178905962,14515.773324106638,40277.020638127084,130000.0,0.18872482923658931,0.34739761014675974,0.4105322357367072
1.2,909,0.35189945552030544,12114679.400594339,19360.169694157434,0.35942199864901725,11509092.363402732,19703.21822454854,2.1376967229429953,-4.998787150420979,1.7719293570790897,13788.679568686905,39075.67403936239,130000.0,0.17989249344420807,0.33426816307043267,0.40216835076801044
