Metric,UK,Optimal
epsilon,1.5,1.5
seed,42.0,42.0
gini,0.33375923190730994,0.3190337850776761
revenue,28020223.964420963,26619339.89677058
welfare,29370.6951839902,30052.483791306262
allowance,12570.0,18065.033651974758
basic_threshold,50270.0,46162.286961757374
higher_threshold,125140.0,105079.68872815261
basic_rate,0.2,0.18439209762962297
higher_rate,0.4,0.4365961324252909
additional_rate,0.45,0.4865961324252909
