Metric,UK,Optimal
epsilon,1.2,1.2
seed,42.0,42.0
gini,0.33375923190730994,0.3263049376524556
revenue,28020223.964420963,26619781.01915581
welfare,31108.486392255487,31700.03407200671
allowance,12570.0,17961.0619879872
basic_threshold,50270.0,49978.59427346245
higher_threshold,125140.0,116651.23986215213
basic_rate,0.2,0.21124809726792118
higher_rate,0.4,0.4219134594685865
additional_rate,0.45,0.4719134594685865
