Metric,UK,Optimal
Epsilon,1.2,1.2
Gini,0.35320523879675925,0.36568723970285366
Revenue,12242644.549889248,11631520.858391324
Atkinson_Social_Welfare,19442.75829589353,19757.59078733207
Allowance,12570.0,14024.134187548592
Basic_Threshold,50270.0,57033.55045304481
Higher_Threshold,125140.0,130000.0
Basic_Rate,0.2,0.20818177278159655
Higher_Rate,0.4,0.3602163001733497
Top_Rate,0.45,0.41026141607090405
