Metric,UK,Optimal
epsilon,2.0,2.0
seed,42.0,42.0
gini,0.33375923190730994,0.32039710809252053
revenue,28020223.964420963,26621632.061033424
welfare,26724.02671705495,27385.23296558762
allowance,12570.0,16541.6149684745
basic_threshold,50270.0,48036.24193295761
higher_threshold,125140.0,110908.8324631347
basic_rate,0.2,0.18010197248526008
higher_rate,0.4,0.43904391054376657
additional_rate,0.45,0.4940643587955067
